date,close
2018-11-23,266.33
2018-11-26,269.79
2018-11-27,272.08
2018-11-28,273.45
2018-11-29,274.16
2018-11-30,271.35
2018-12-03,276.18
2018-12-04,273.29
2018-12-05,271.49
2018-12-06,267.18
2018-12-07,268.28
2018-12-10,265.35
2018-12-11,264.69
2018-12-12,268.47
2018-12-13,269.41
2018-12-14,265.55
2018-12-17,266.33
2018-12-18,265.18
2018-12-19,267.31
2018-12-20,264.81
2018-12-21,265.06
2018-12-24,264.45
2018-12-26,260.98
2018-12-27,260.57
2018-12-28,261.98
2019-01-02,258.23
2019-01-03,255.77
2019-01-04,257.89
2019-01-07,261.57
2019-01-08,259.65
2019-01-09,265.6
2019-01-10,265.55
2019-01-11,267.13
2019-01-14,264.99
2019-01-15,269.93
2019-01-16,271.23
2019-01-17,271.88
2019-01-18,273.88
2019-01-21,274
2019-01-22,272.71
2019-01-23,273.87
2019-01-24,276.61
2019-01-25,281.67
2019-01-28,281.64
2019-01-29,283
2019-01-30,286.62
2019-01-31,285.89
2019-02-01,285.79
2019-02-07,285.65
2019-02-08,281.49
2019-02-11,282.1
2019-02-12,283.69
2019-02-13,284.97
2019-02-14,288.68
2019-02-15,283.98
2019-02-18,285.9
2019-02-19,284.91
2019-02-20,288.4
2019-02-21,288.41
2019-02-22,288.74
2019-02-25,289
2019-02-26,287.89
2019-02-27,288.76
2019-02-28,283.8
2019-03-04,282.51
2019-03-05,280.45
2019-03-06,279.85
2019-03-07,278.87
2019-03-08,274.84
2019-03-11,275.06
2019-03-12,277.73
2019-03-13,276
2019-03-14,276.64
2019-03-15,279.87
2019-03-18,279.93
2019-03-19,279.82
2019-03-20,279.92
2019-03-21,282.38
2019-03-22,283.13
2019-03-25,277.45
2019-03-26,277.6
2019-03-27,277.28
2019-03-28,275.08
2019-03-29,276.48
2019-04-01,280.32
2019-04-02,281.72
2019-04-03,285.65
2019-04-04,286.15
2019-04-05,286.68
2019-04-08,286.38
2019-04-09,286.71
2019-04-10,287.92
2019-04-11,287.42
2019-04-12,288.37
2019-04-15,289.38
2019-04-16,290.62
2019-04-17,290.33
2019-04-18,285.82
2019-04-19,285.89
2019-04-22,285.87
2019-04-23,286.47
2019-04-24,283.7
2019-04-25,282.83
2019-04-26,281.34
2019-04-29,286.79
2019-04-30,284.92
2019-05-02,286.12
2019-05-03,283.67
2019-05-07,281.31
2019-05-08,280.15
2019-05-09,271
2019-05-10,272.06
2019-05-13,268.72
2019-05-14,268.57
2019-05-15,269.64
2019-05-16,265.99
2019-05-17,264.35
2019-05-20,264.96
2019-05-21,266.12
2019-05-22,266.65
2019-05-23,266.38
2019-05-24,264.42
2019-05-27,264.4
2019-05-28,264.7
2019-05-29,261.37
2019-05-30,263.93
2019-05-31,263.89
2019-06-03,268.16
2019-06-04,267.66
2019-06-05,267.99
2019-06-07,268.27
2019-06-10,272.1
2019-06-11,273.21
2019-06-12,272.74
2019-06-13,271.13
2019-06-14,270.48
2019-06-17,270.09
2019-06-18,271.36
2019-06-19,275.31
2019-06-20,276.01
2019-06-21,275.48
2019-06-24,275.58
2019-06-25,275.28
2019-06-26,275.53
2019-06-27,277.75
2019-06-28,277.5
2019-07-01,277.27
2019-07-02,275.97
2019-07-03,272.37
2019-07-04,274.54
2019-07-05,274.35
2019-07-08,268.55
2019-07-09,267.72
2019-07-10,268.75
2019-07-11,271.78
2019-07-12,272.68
2019-07-15,272.64
2019-07-16,274.05
2019-07-17,271.48
2019-07-18,270.67
2019-07-19,274.55
2019-07-22,274.55
2019-07-23,275.92
2019-07-24,273.22
2019-07-25,273.04
2019-07-26,272.25
2019-07-29,267.75
2019-07-30,268.95
2019-07-31,266.34
2019-08-01,265.73
2019-08-02,262.99
2019-08-05,257.19
2019-08-06,253.41
2019-08-07,252
2019-08-08,252.4
2019-08-09,254.85
2019-08-12,255.35
2019-08-13,252.83
2019-08-14,254.86
2019-08-16,253.9
2019-08-19,255.11
2019-08-20,258.05
2019-08-21,258.38
2019-08-22,256.28
2019-08-23,256.11
2019-08-26,252.19
2019-08-27,253.5
2019-08-28,255.53
2019-08-29,254.31
2019-08-30,259
2019-09-02,259.08
2019-09-03,258.25
2019-09-04,261.69
2019-09-05,264.44
2019-09-06,265.53
2019-09-09,267.4
2019-09-10,268.76
2019-09-11,270.84
2019-09-16,272.02
2019-09-17,271.68
2019-09-18,273.06
2019-09-19,274.92
2019-09-20,276.44
2019-09-23,276.65
2019-09-24,277.97
2019-09-25,274.42
2019-09-26,274.89
2019-09-27,271.33
2019-09-30,273.55
2019-10-01,274.42
2019-10-02,268.55
2019-10-04,267.39
2019-10-07,267.67
2019-10-08,271.36
2019-10-10,268.8
2019-10-11,271.3
2019-10-14,274.23
2019-10-15,274.34
2019-10-16,276.32
2019-10-17,275.57
2019-10-18,272.81
2019-10-21,273.79
2019-10-22,277.41
2019-10-23,276.23
2019-10-24,276.7
2019-10-25,277.07
2019-10-28,277.78
2019-10-29,277.55
2019-10-30,275.51
2019-10-31,275.82
2019-11-01,278.43
2019-11-04,282.54
2019-11-05,284.38
2019-11-06,284.52
2019-11-07,284.37
2019-11-08,283.13
2019-11-11,280.85
2019-11-12,283.65
2019-11-13,281.28
2019-11-14,283.93
2019-11-15,287.29
2019-11-18,287.18
2019-11-19,286.23
2019-11-20,282.21
2019-11-21,278.28
2019-11-22,279.43
2019-11-25,282.19
2019-11-26,281.83
2019-11-27,282.85
2019-11-28,281.23
2019-11-29,276.78
2019-12-02,277.44
2019-12-03,276.19
2019-12-04,274.15
2019-12-05,273.3
2019-12-06,276.56
2019-12-09,278.03
2019-12-10,279.31
2019-12-11,280.28
2019-12-12,285.11
2019-12-13,290.11
2019-12-16,289.76
2019-12-17,294.4
2019-12-18,294.22
2019-12-19,294.31
2019-12-20,295.31
2019-12-23,294.87
2019-12-24,292.9
2019-12-26,294.06
2019-12-27,295.2
2019-12-30,293.77
2020-01-02,290.35
2020-01-03,290.74
2020-01-06,288.43
2020-01-07,291.23
2020-01-08,289.42
2020-01-09,294.41
2020-01-10,297.06
2020-01-13,300.13
2020-01-14,301.53
2020-01-15,299.74
2020-01-16,302.78
2020-01-17,303.3
2020-01-20,305.58
2020-01-21,302.11
2020-01-22,306.08
2020-01-23,302.33
2020-01-28,292.77
2020-01-29,293.98
2020-01-30,288.37
2020-01-31,284.53
2020-02-03,285.05
2020-02-04,290.68
2020-02-05,292.02
2020-02-06,300.65
2020-02-07,298.21
2020-02-10,296.24
2020-02-11,299.28
2020-02-12,301.54
2020-02-13,300.93
2020-02-14,303.01
2020-02-17,302.76
2020-02-18,297.74
2020-02-19,298.33
2020-02-20,296.65
2020-02-21,292.42
2020-02-24,281.02
2020-02-25,284.24
2020-02-26,279.94
2020-02-27,277.09
2020-02-28,268.02
2020-03-02,270.37
2020-03-03,271.56
2020-03-04,278.13
2020-03-05,281.38
2020-03-06,275.1
2020-03-09,263.11
2020-03-10,264.67
2020-03-11,257.01
2020-03-12,247.62
2020-03-13,240.65
2020-03-16,232.97
2020-03-17,226.89
2020-03-18,215.83
2020-03-19,199.28
2020-03-20,213.67
2020-03-23,201.87
2020-03-24,220.34
2020-03-25,232.89
2020-03-26,229.34
2020-03-27,233.79
2020-03-30,232.45
2020-03-31,236.82
2020-04-01,226.35
2020-04-02,231.84
2020-04-03,231.7
2020-04-06,240.81
2020-04-07,244.87
2020-04-08,241.89
2020-04-09,245.61
2020-04-10,248
2020-04-13,243.4
2020-04-14,247.45
2020-04-16,247.1
2020-04-17,255.02
2020-04-20,252.14
2020-04-21,249.4
2020-04-22,251.88
2020-04-23,253.74
2020-04-24,250.28
2020-04-27,254.84
2020-04-28,256.39
2020-04-29,258.15
2020-05-04,250.6
2020-05-06,255
2020-05-07,254.46
2020-05-08,256.62
2020-05-11,254.95
2020-05-12,253.37
2020-05-13,255.85
2020-05-14,253.65
2020-05-15,253.79
2020-05-18,255.44
2020-05-19,261.79
